url_path,views_total,views_unique
/forkymcforkface/xpad-noone,71,30
/forkymcforkface/xpad-noone/commit/a52e32cf182435d608e66bef9a6c89ebac891999,4,2
/forkymcforkface/xpad-noone/graphs/traffic,2,1
/forkymcforkface/xpad-noone/pulse,2,1
/forkymcforkface/xpad-noone/blob/master/xpad.c,1,1
/forkymcforkface/xpad-noone/commit/1caf500b6059d8dad8dd0a0547cd7132e64946a3,1,1
/forkymcforkface/xpad-noone/commits/master,1,1
/forkymcforkface/xpad-noone/issues,1,1
/forkymcforkface/xpad-noone/pulls,1,1
/forkymcforkface/xpad-noone/tree/github-repo-stats,1,1
