time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,190,29,0,0
2026-05-29 00:00:00+00:00,21,21,0,0
2026-05-30 00:00:00+00:00,39,35,5,5
2026-05-31 00:00:00+00:00,23,20,9,4
2026-06-01 00:00:00+00:00,20,18,2,2
2026-06-02 00:00:00+00:00,21,19,1,1
2026-06-03 00:00:00+00:00,13,13,4,2
2026-06-04 00:00:00+00:00,20,19,5,4
2026-06-05 00:00:00+00:00,72,40,34,5
2026-06-06 00:00:00+00:00,50,33,15,4
2026-06-07 00:00:00+00:00,54,37,3,3
2026-06-08 00:00:00+00:00,32,22,1,1
2026-06-09 00:00:00+00:00,44,27,1,1
2026-06-10 00:00:00+00:00,34,19,2,1
